# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.524386539513e-10       4.249093470655e-14      -7.615192898264e-13       0.000000000000e+00 
   71       2.556760860209e-10       4.420097232953e-14      -8.206739302180e-13       0.000000000000e+00 
   72       2.589338129872e-10       4.593932727582e-14      -8.813322556275e-13       0.000000000000e+00 
   73       2.622243404554e-10       4.770602102024e-14      -9.434789341806e-13       0.000000000000e+00 
   74       2.655586748610e-10       4.950097300278e-14      -1.007107869146e-12       0.000000000000e+00 
   75       2.689386117933e-10       5.132350471864e-14      -1.072252798933e-12       0.000000000000e+00 
   76       2.723630340972e-10       5.317274803657e-14      -1.138962558024e-12       0.000000000000e+00 
   77       2.758295076972e-10       5.504754287206e-14      -1.207263554259e-12       0.000000000000e+00 
   78       2.793321697236e-10       5.694563821652e-14      -1.277067660122e-12       0.000000000000e+00 
   79       2.828633992974e-10       5.886434605066e-14      -1.348248140357e-12       0.000000000000e+00 
   80       2.864157224025e-10       6.080106127293e-14      -1.420679845841e-12       0.000000000000e+00 
   81       2.899860385718e-10       6.275418084308e-14      -1.494281057116e-12       0.000000000000e+00 
   82       2.935720488505e-10       6.472233543546e-14      -1.568978378162e-12       0.000000000000e+00 
   83       2.971741281197e-10       6.670388526284e-14      -1.644700860051e-12       0.000000000000e+00 
   84       3.008054014956e-10       6.869618716717e-14      -1.721401374213e-12       0.000000000000e+00 
   85       3.044833276248e-10       7.069620425193e-14      -1.799038721185e-12       0.000000000000e+00 
   86       3.082213974859e-10       7.270124411986e-14      -1.877582371565e-12       0.000000000000e+00 
   87       3.120122113954e-10       7.471062249438e-14      -1.957047840096e-12       0.000000000000e+00 
   88       3.158417081764e-10       7.672426345025e-14      -2.037467165573e-12       0.000000000000e+00 
   89       3.196973541146e-10       7.874204850403e-14      -2.118872180235e-12       0.000000000000e+00 
   90       3.235781445792e-10       8.076332507325e-14      -2.201274454103e-12       0.000000000000e+00 
   91       3.274860836097e-10       8.278732892930e-14      -2.284682611156e-12       0.000000000000e+00 
   92       3.314223485826e-10       8.481311404346e-14      -2.369082305193e-12       0.000000000000e+00 
   93       3.353847175247e-10       8.683885183093e-14      -2.454353023623e-12       0.000000000000e+00 
   94       3.393697412437e-10       8.886242900215e-14      -2.540338827637e-12       0.000000000000e+00 
   95       3.433735023990e-10       9.088165867429e-14      -2.626873248387e-12       0.000000000000e+00 
   96       3.473932913915e-10       9.289416065610e-14      -2.713796967640e-12       0.000000000000e+00 
   97       3.514329470611e-10       9.489698429251e-14      -2.801014316026e-12       0.000000000000e+00 
   98       3.554982699281e-10       9.688692867944e-14      -2.888444619775e-12       0.000000000000e+00 
   99       3.595954063704e-10       9.886065418033e-14      -2.976005015564e-12       0.000000000000e+00 
  100       3.637297943010e-10       1.008152050740e-13      -3.063623767717e-12       0.000000000000e+00 
  101       3.679028180340e-10       1.027496663651e-13      -3.151282359827e-12       0.000000000000e+00 
  102       3.721146935786e-10       1.046637359591e-13      -3.238979327241e-12       0.000000000000e+00 
  103       3.763654810449e-10       1.065572240877e-13      -3.326717614499e-12       0.000000000000e+00 
  104       3.806539747209e-10       1.084296525591e-13      -3.414484252034e-12       0.000000000000e+00 
  105       3.849742162522e-10       1.102789826425e-13      -3.502185927929e-12       0.000000000000e+00 
  106       3.893184963898e-10       1.121027216434e-13      -3.589704959403e-12       0.000000000000e+00 
  107       3.936783982229e-10       1.138983114924e-13      -3.676918922726e-12       0.000000000000e+00 
  108       3.980466162714e-10       1.156632811111e-13      -3.763714285029e-12       0.000000000000e+00 
  109       4.024227229740e-10       1.173957274461e-13      -3.850029471840e-12       0.000000000000e+00 
  110       4.068081222948e-10       1.190938962003e-13      -3.935817302972e-12       0.000000000000e+00 
  111       4.112042795060e-10       1.207560353460e-13      -4.021031858844e-12       0.000000000000e+00 
  112       4.156132369578e-10       1.223804326735e-13      -4.105623171272e-12       0.000000000000e+00 
  113       4.200392345501e-10       1.239655318209e-13      -4.189520390284e-12       0.000000000000e+00 
  114       4.244872944742e-10       1.255098326380e-13      -4.272646618916e-12       0.000000000000e+00 
  115       4.289627289825e-10       1.270118571250e-13      -4.354924119212e-12       0.000000000000e+00 
  116       4.334694103937e-10       1.284701343156e-13      -4.436276229391e-12       0.000000000000e+00 
  117       4.380043315202e-10       1.298831501224e-13      -4.516633342060e-12       0.000000000000e+00 
  118       4.425623904470e-10       1.312493937538e-13      -4.595927689379e-12       0.000000000000e+00 
  119       4.471380563810e-10       1.325673746720e-13      -4.674091542645e-12       0.000000000000e+00 
  120       4.517253594399e-10       1.338356237200e-13      -4.751057246743e-12       0.000000000000e+00 
  121       4.563188844460e-10       1.350527248203e-13      -4.826755739582e-12       0.000000000000e+00 
  122       4.609169054886e-10       1.362174118597e-13      -4.901111841170e-12       0.000000000000e+00 
  123       4.655185997047e-10       1.373284852874e-13      -4.974048476976e-12       0.000000000000e+00 
  124       4.701230740065e-10       1.383847839169e-13      -5.045488165616e-12       0.000000000000e+00 
  125       4.747293630322e-10       1.393851863023e-13      -5.115353040981e-12       0.000000000000e+00 
  126       4.793367437472e-10       1.403286241576e-13      -5.183566762072e-12       0.000000000000e+00 
  127       4.839457235571e-10       1.412141213948e-13      -5.250060437939e-12       0.000000000000e+00 
  128       4.885571597407e-10       1.420407620841e-13      -5.314767412576e-12       0.000000000000e+00 
  129       4.931719530579e-10       1.428076802526e-13      -5.377621472727e-12       0.000000000000e+00 
  130       4.977910480745e-10       1.435140613506e-13      -5.438556884177e-12       0.000000000000e+00 
  131       5.024151677561e-10       1.441591571833e-13      -5.497508911684e-12       0.000000000000e+00 
  132       5.070439841423e-10       1.447423294179e-13      -5.554415365276e-12       0.000000000000e+00 
  133       5.116768582394e-10       1.452630135732e-13      -5.609215290485e-12       0.000000000000e+00 
  134       5.163130962108e-10       1.457207075194e-13      -5.661848538956e-12       0.000000000000e+00 
  135       5.209519478581e-10       1.461149730374e-13      -5.712255808085e-12       0.000000000000e+00 
  136       5.255921564451e-10       1.464454480673e-13      -5.760377245736e-12       0.000000000000e+00 
  137       5.302305584245e-10       1.467118815906e-13      -5.806148016270e-12       0.000000000000e+00 
  138       5.348633342195e-10       1.469141053555e-13      -5.849502345400e-12       0.000000000000e+00 
  139       5.394864394200e-10       1.470520251273e-13      -5.890374943791e-12       0.000000000000e+00 
  140       5.440956003743e-10       1.471256223165e-13      -5.928701037464e-12       0.000000000000e+00 
  141       5.486863097808e-10       1.471349556071e-13      -5.964416398193e-12       0.000000000000e+00 
  142       5.532548616616e-10       1.470801708126e-13      -5.997459327060e-12       0.000000000000e+00 
  143       5.578015822165e-10       1.469615281155e-13      -6.027776764351e-12       0.000000000000e+00 
  144       5.623279149786e-10       1.467793806552e-13      -6.055318850857e-12       0.000000000000e+00 
  145       5.668354121359e-10       1.465341682072e-13      -6.080037071119e-12       0.000000000000e+00 
  146       5.713257362654e-10       1.462264188589e-13      -6.101884295369e-12       0.000000000000e+00 
  147       5.758006620667e-10       1.458567506870e-13      -6.120814821483e-12       0.000000000000e+00 
  148       5.802614861303e-10       1.454258737712e-13      -6.136783657586e-12       0.000000000000e+00 
  149       5.847071887796e-10       1.449345929184e-13      -6.149744203905e-12       0.000000000000e+00 
  150       5.891360982569e-10       1.443838083931e-13      -6.159650427205e-12       0.000000000000e+00 
  151       5.935464653635e-10       1.437745172681e-13      -6.166457637616e-12       0.000000000000e+00 
  152       5.979364619719e-10       1.431078151030e-13      -6.170122526453e-12       0.000000000000e+00 
  153       6.023041795378e-10       1.423848976230e-13      -6.170603204025e-12       0.000000000000e+00 
  154       6.066475147112e-10       1.416070570775e-13      -6.167858976250e-12       0.000000000000e+00 
  155       6.109638174117e-10       1.407756674062e-13      -6.161849571729e-12       0.000000000000e+00 
  156       6.152502072648e-10       1.398922008981e-13      -6.152535915079e-12       0.000000000000e+00 
  157       6.195036815438e-10       1.389582350270e-13      -6.139880417917e-12       0.000000000000e+00 
  158       6.237211131155e-10       1.379754541027e-13      -6.123847015360e-12       0.000000000000e+00 
  159       6.278992483843e-10       1.369456509237e-13      -6.104401202525e-12       0.000000000000e+00 
  160       6.320353538814e-10       1.358707147072e-13      -6.081511133040e-12       0.000000000000e+00 
  161       6.361292250049e-10       1.347525902072e-13      -6.055150947756e-12       0.000000000000e+00 
  162       6.401813529058e-10       1.335933180981e-13      -6.025297813312e-12       0.000000000000e+00 
  163       6.441922928758e-10       1.323950499447e-13      -5.991930927879e-12       0.000000000000e+00 
  164       6.481626653136e-10       1.311600497899e-13      -5.955031562608e-12       0.000000000000e+00 
  165       6.520931566912e-10       1.298906957424e-13      -5.914583103076e-12       0.000000000000e+00 
  166       6.559845205208e-10       1.285894815653e-13      -5.870571090738e-12       0.000000000000e+00 
  167       6.598370747110e-10       1.272589908443e-13      -5.822982145135e-12       0.000000000000e+00 
  168       6.636491434551e-10       1.259018136915e-13      -5.771800540395e-12       0.000000000000e+00 
  169       6.674184836187e-10       1.245206259410e-13      -5.717011414586e-12       0.000000000000e+00 
  170       6.711427752077e-10       1.231182173876e-13      -5.658601899045e-12       0.000000000000e+00 
  171       6.748196201803e-10       1.216974932577e-13      -5.596561155038e-12       0.000000000000e+00 
  172       6.784465412596e-10       1.202614756798e-13      -5.530880410421e-12       0.000000000000e+00 
  173       6.820209807460e-10       1.188133051553e-13      -5.461552996300e-12       0.000000000000e+00 
  174       6.855406026528e-10       1.173562068079e-13      -5.388574323482e-12       0.000000000000e+00 
  175       6.890042293804e-10       1.158933829505e-13      -5.311941732964e-12       0.000000000000e+00 
  176       6.924109799072e-10       1.144281144906e-13      -5.231654703430e-12       0.000000000000e+00 
  177       6.957599733879e-10       1.129637966808e-13      -5.147714946517e-12       0.000000000000e+00 
  178       6.990503291603e-10       1.115039404505e-13      -5.060126443237e-12       0.000000000000e+00 
  179       7.022811667543e-10       1.100521737384e-13      -4.968895480402e-12       0.000000000000e+00 
  180       7.054516058984e-10       1.086122428236e-13      -4.874030687044e-12       0.000000000000e+00 
  181       7.085608110207e-10       1.071879599972e-13      -4.775543086815e-12       0.000000000000e+00 
  182       7.116081286655e-10       1.057830391668e-13      -4.673446183745e-12       0.000000000000e+00 
  183       7.145929609805e-10       1.044012497827e-13      -4.567755953235e-12       0.000000000000e+00 
  184       7.175147223699e-10       1.030464704597e-13      -4.458490862922e-12       0.000000000000e+00 
  185       7.203728396639e-10       1.017226901128e-13      -4.345671909160e-12       0.000000000000e+00 
  186       7.231667522887e-10       1.004340090944e-13      -4.229322653498e-12       0.000000000000e+00 
  187       7.258959124368e-10       9.918464033007e-14      -4.109469259165e-12       0.000000000000e+00 
  188       7.285597852359e-10       9.797891045540e-14      -3.986140527550e-12       0.000000000000e+00 
  189       7.311577590466e-10       9.682118836870e-14      -3.859366427239e-12       0.000000000000e+00 
  190       7.336888684037e-10       9.571566247219e-14      -3.729173480544e-12       0.000000000000e+00 
  191       7.361520503558e-10       9.466654869681e-14      -3.595589096726e-12       0.000000000000e+00 
  192       7.385462323219e-10       9.367816245558e-14      -3.458643079242e-12       0.000000000000e+00 
  193       7.408703319598e-10       9.275491953746e-14      -3.318367657183e-12       0.000000000000e+00 
  194       7.431232570367e-10       9.190133700126e-14      -3.174797516719e-12       0.000000000000e+00 
  195       7.453039052977e-10       9.112203406949e-14      -3.027969832546e-12       0.000000000000e+00 
  196       7.474111643364e-10       9.042173302221e-14      -2.877924299329e-12       0.000000000000e+00 
  197       7.494440028321e-10       8.980517829704e-14      -2.724702937298e-12       0.000000000000e+00 
  198       7.514017519464e-10       8.927688535813e-14      -2.568349427809e-12       0.000000000000e+00 
  199       7.532838441999e-10       8.884137523298e-14      -2.408909789919e-12       0.000000000000e+00 
  200       7.550897240951e-10       8.850325530038e-14      -2.246432632427e-12       0.000000000000e+00 
  201       7.568188482671e-10       8.826721993266e-14      -2.080969184626e-12       0.000000000000e+00 
  202       7.584706856344e-10       8.813805113793e-14      -1.912573327055e-12       0.000000000000e+00 
  203       7.600447175493e-10       8.812061920229e-14      -1.741301622243e-12       0.000000000000e+00 
  204       7.615404379487e-10       8.821988333210e-14      -1.567213345462e-12       0.000000000000e+00 
  205       7.629573352116e-10       8.844078820934e-14      -1.390368703655e-12       0.000000000000e+00 
  206       7.642948360020e-10       8.878794424951e-14      -1.210823289304e-12       0.000000000000e+00 
  207       7.655523577775e-10       8.926592615453e-14      -1.028633296863e-12       0.000000000000e+00 
  208       7.667293268265e-10       8.987937532987e-14      -8.438573250879e-13       0.000000000000e+00 
  209       7.678251783674e-10       9.063300023105e-14      -6.565564026365e-13       0.000000000000e+00 
  210       7.688393566465e-10       9.153157671007e-14      -4.667940136691e-13       0.000000000000e+00 
  211       7.697713150372e-10       9.257994836190e-14      -2.746361234498e-13       0.000000000000e+00 
  212       7.706205161385e-10       9.378302687093e-14      -8.015120394804e-14       0.000000000000e+00 
  213       7.713864318734e-10       9.514579235747e-14       1.165897405610e-13       0.000000000000e+00 
  214       7.720686477805e-10       9.667317141095e-14       3.155142265924e-13       0.000000000000e+00 
  215       7.726671834804e-10       9.836966135197e-14       5.165515825940e-13       0.000000000000e+00 
  216       7.731821939514e-10       1.002396813712e-13       7.196298296561e-13       0.000000000000e+00 
  217       7.736138676414e-10       1.022876925995e-13       9.246746000485e-13       0.000000000000e+00 
  218       7.739624268380e-10       1.045181981360e-13       1.131609114433e-12       0.000000000000e+00 
  219       7.742281280394e-10       1.069357430748e-13       1.340354159075e-12       0.000000000000e+00 
  220       7.744112623245e-10       1.095449145329e-13       1.550828063057e-12       0.000000000000e+00 
  221       7.745121557231e-10       1.123503416777e-13       1.762946675490e-12       0.000000000000e+00 
  222       7.745311695866e-10       1.153566957541e-13       1.976623342725e-12       0.000000000000e+00 
  223       7.744685761603e-10       1.185685632613e-13       2.191771193305e-12       0.000000000000e+00 
  224       7.743241756054e-10       1.219900563268e-13       2.408310203953e-12       0.000000000000e+00 
  225       7.740976549593e-10       1.256251772214e-13       2.626160545840e-12       0.000000000000e+00 
  226       7.737887107801e-10       1.294779426722e-13       2.845240300719e-12       0.000000000000e+00 
  227       7.733970492176e-10       1.335523835862e-13       3.065465443686e-12       0.000000000000e+00 
  228       7.729223860837e-10       1.378525447723e-13       3.286749825933e-12       0.000000000000e+00 
  229       7.723644469232e-10       1.423824846643e-13       3.509005157504e-12       0.000000000000e+00 
  230       7.717229670841e-10       1.471462750437e-13       3.732140990053e-12       0.000000000000e+00 
  231       7.709976917883e-10       1.521480007620e-13       3.956064699598e-12       0.000000000000e+00 
  232       7.701885071713e-10       1.573916219888e-13       4.180683127998e-12       0.000000000000e+00 
  233       7.692958422919e-10       1.628805520265e-13       4.405907656259e-12       0.000000000000e+00 
  234       7.683202922335e-10       1.686180527306e-13       4.631649412979e-12       0.000000000000e+00 
  235       7.672624897397e-10       1.746073690473e-13       4.857817630484e-12       0.000000000000e+00 
  236       7.661231055758e-10       1.808517284310e-13       5.084319631269e-12       0.000000000000e+00 
  237       7.649028488902e-10       1.873543402621e-13       5.311060814432e-12       0.000000000000e+00 
  238       7.636024675756e-10       1.941183952643e-13       5.537944642119e-12       0.000000000000e+00 
  239       7.622227486303e-10       2.011470649223e-13       5.764872625953e-12       0.000000000000e+00 
  240       7.607645185198e-10       2.084435008991e-13       5.991744313482e-12       0.000000000000e+00 
  241       7.592286435377e-10       2.160108344538e-13       6.218457274610e-12       0.000000000000e+00 
  242       7.576159234768e-10       2.238520345601e-13       6.444909901648e-12       0.000000000000e+00 
  243       7.559267648654e-10       2.319694740841e-13       6.671010022585e-12       0.000000000000e+00 
  244       7.541614889569e-10       2.403653366210e-13       6.896666774840e-12       0.000000000000e+00 
  245       7.523204368122e-10       2.490417546024e-13       7.121787830054e-12       0.000000000000e+00 
  246       7.504039694427e-10       2.580008084250e-13       7.346279386269e-12       0.000000000000e+00 
  247       7.484124679542e-10       2.672445255804e-13       7.570046160109e-12       0.000000000000e+00 
  248       7.463463336904e-10       2.767748797839e-13       7.792991378958e-12       0.000000000000e+00 
  249       7.442059883768e-10       2.865937901039e-13       8.015016773143e-12       0.000000000000e+00 
  250       7.419918742638e-10       2.967031200909e-13       8.236022568112e-12       0.000000000000e+00 
  251       7.397044542708e-10       3.071046769072e-13       8.455907476611e-12       0.000000000000e+00 
  252       7.373442829830e-10       3.178000808529e-13       8.674571142860e-12       0.000000000000e+00 
  253       7.349122238543e-10       3.287903674605e-13       8.891921646365e-12       0.000000000000e+00 
  254       7.324092447232e-10       3.400763609203e-13       9.107868412664e-12       0.000000000000e+00 
  255       7.298363483539e-10       3.516588005231e-13       9.322319796823e-12       0.000000000000e+00 
  256       7.271945727135e-10       3.635383395458e-13       9.535183080227e-12       0.000000000000e+00 
  257       7.244849912489e-10       3.757155441362e-13       9.746364467380e-12       0.000000000000e+00 
  258       7.217087131639e-10       3.881908921987e-13       9.955769082699e-12       0.000000000000e+00 
  259       7.188668836959e-10       4.009647722791e-13       1.016330096731e-11       0.000000000000e+00 
  260       7.159606843934e-10       4.140374824505e-13       1.036886307583e-11       0.000000000000e+00 
  261       7.129913333922e-10       4.274092291978e-13       1.057235727318e-11       0.000000000000e+00 
  262       7.099600856931e-10       4.410801263037e-13       1.077368433139e-11       0.000000000000e+00 
  263       7.068681521694e-10       4.550500819233e-13       1.097274695000e-11       0.000000000000e+00 
  264       7.037164510927e-10       4.693184552373e-13       1.116945900781e-11       0.000000000000e+00 
  265       7.005058435017e-10       4.838843787766e-13       1.136373681297e-11       0.000000000000e+00 
  266       6.972372133785e-10       4.987468672336e-13       1.155549612704e-11       0.000000000000e+00 
  267       6.939114677856e-10       5.139048161546e-13       1.174465216707e-11       0.000000000000e+00 
  268       6.905295370018e-10       5.293570006314e-13       1.193111960754e-11       0.000000000000e+00 
  269       6.870923746593e-10       5.451020739934e-13       1.211481258246e-11       0.000000000000e+00 
  270       6.836009578798e-10       5.611385664997e-13       1.229564468736e-11       0.000000000000e+00 
  271       6.800562874112e-10       5.774648840314e-13       1.247352898127e-11       0.000000000000e+00 
  272       6.764593877641e-10       5.940793067830e-13       1.264837798882e-11       0.000000000000e+00 
  273       6.728113073484e-10       6.109799879549e-13       1.282010370220e-11       0.000000000000e+00 
  274       6.691131424273e-10       6.281648828228e-13       1.298862036042e-11       0.000000000000e+00 
  275       6.653661100978e-10       6.456315344949e-13       1.315385294523e-11       0.000000000000e+00 
  276       6.615714794249e-10       6.633772743087e-13       1.331572913721e-11       0.000000000000e+00 
  277       6.577305481449e-10       6.813992890234e-13       1.347417658530e-11       0.000000000000e+00 
  278       6.538446428390e-10       6.996946194016e-13       1.362912291329e-11       0.000000000000e+00 
  279       6.499151191081e-10       7.182601587897e-13       1.378049572620e-11       0.000000000000e+00 
  280       6.459433617475e-10       7.370926516999e-13       1.392822261679e-11       0.000000000000e+00 
  281       6.419307849209e-10       7.561886923909e-13       1.407223117196e-11       0.000000000000e+00 
  282       6.378788323352e-10       7.755447234488e-13       1.421244897919e-11       0.000000000000e+00 
  283       6.337889774148e-10       7.951570343688e-13       1.434880363302e-11       0.000000000000e+00 
  284       6.296627234759e-10       8.150217601361e-13       1.448122274147e-11       0.000000000000e+00 
  285       6.255016039014e-10       8.351348798070e-13       1.460963393247e-11       0.000000000000e+00 
  286       6.213071175042e-10       8.554921980883e-13       1.473396774622e-11       0.000000000000e+00 
  287       6.170805306451e-10       8.760892919635e-13       1.485416646065e-11       0.000000000000e+00 
  288       6.128230654506e-10       8.969215586018e-13       1.497017572472e-11       0.000000000000e+00 
  289       6.085359638016e-10       9.179842306804e-13       1.508194172335e-11       0.000000000000e+00 
  290       6.042204874128e-10       9.392723749399e-13       1.518941118805e-11       0.000000000000e+00 
  291       5.998779179126e-10       9.607808907414e-13       1.529253140763e-11       0.000000000000e+00 
  292       5.955095569227e-10       9.825045086220e-13       1.539125023881e-11       0.000000000000e+00 
  293       5.911167261381e-10       1.004437788852e-12       1.548551611693e-11       0.000000000000e+00 
  294       5.867007674063e-10       1.026575119990e-12       1.557527806661e-11       0.000000000000e+00 
  295       5.822630428075e-10       1.048910717440e-12       1.566048571236e-11       0.000000000000e+00 
  296       5.778049347337e-10       1.071438622009e-12       1.574108928931e-11       0.000000000000e+00 
  297       5.733278459691e-10       1.094152698459e-12       1.581703965382e-11       0.000000000000e+00 
  298       5.688331736782e-10       1.117046692652e-12       1.588829062621e-11       0.000000000000e+00 
  299       5.643222298116e-10       1.140114408996e-12       1.595480612265e-11       0.000000000000e+00 
  300       5.597963169914e-10       1.163349538794e-12       1.601655339032e-11       0.000000000000e+00 
  301       5.552567542988e-10       1.186745601078e-12       1.607350072033e-11       0.000000000000e+00 
