1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
1725    ;5253693525206    ;1373253251432    ;-4083168992639    ;0.000000000000e+00;0.0006652054911509;0.000002532768196514;0.00001776495678839
1726    ;5256827093331    ;1357671011835    ;-4051827616042    ;0.000000000000e+00;0.000663571556015;0.000002299562083498;0.00001748464141848
1727    ;5259724596477    ;1342271864628    ;-4019769090924    ;0.000000000000e+00;0.0006619423796698;0.000002061458516595;0.00001720480327642
1728    ;5262384227568    ;13270585132    ;-3987011425725    ;0.000000000000e+00;0.0006603179491653;0.000001819395426019;0.00001692541730971
1729    ;5264804173993    ;1312033670938    ;-3953572720268    ;0.000000000000e+00;0.0006586982513949;0.000001574315138951;0.00001664645833862
1730    ;5266982617608    ;1297200061241    ;-3919471165899    ;0.000000000000e+00;0.0006570832730949;0.000001327164385922;0.00001636790105606
1731    ;5268917734722    ;1282560417532    ;-3884725045616    ;0.000000000000e+00;0.0006554730008442;0.0000010788943072;0.00001608972002733
1732    ;5270607696094    ;1268117483271    ;-3849352734211    ;0.000000000000e+00;0.0006538674210642;0.0000008304604591669;0.00001581188968996
1733    ;5272050666925    ;1253874011969    ;-3813372698405    ;0.000000000000e+00;0.0006522665200182;0.000000582822820708;0.0000155343843535
1734    ;5273244806853    ;12398327672    ;-377680349698    ;0.000000000000e+00;0.0006506702838113;0.0000003369457995902;0.00001525717819936
1735    ;5274188269944    ;1225996522618    ;-3739663780919    ;0.000000000000e+00;0.0006490786983901;9379823884686    ;0.0000149802452806
1736    ;5274879204687    ;1212368061964    ;-3701972293538    ;0.000000000000e+00;0.0006474917495424;-0.0000001456465768392;0.00001470355952173
1737    ;5275315753986    ;1198950179083    ;-3663747870627    ;0.000000000000e+00;0.0006459094228971;-0.0000003804109147533;0.00001442709471852
1738    ;5275496055157    ;1185745677938    ;-3625009440581    ;0.000000000000e+00;0.0006443317039236;-0.0000006095125877654;0.00001415082453784
1739    ;5275418239916    ;117275737262    ;-3585776024537    ;0.000000000000e+00;0.0006427585779317;-0.0000008319649479474;0.00001387472251745
1740    ;5275080434376    ;1159988087364    ;-3546066736512    ;0.000000000000e+00;0.0006411900300711;-0.00000104677688019;0.00001359876206577
1741    ;5274480759038    ;114744065656    ;-3505900783537    ;0.000000000000e+00;0.0006396260453315;-0.00000125295279582;0.00001332291646178
1742    ;5273617328789    ;1135117924767    ;-3465297465792    ;0.000000000000e+00;0.0006380666085422;-0.000001449492626217;0.00001304715885473
