l,TT,3:EE,4:TE,
224,774,0.122,2.41,
225,774,0.126,2.63,
226,774,0.129,2.85,
227,773,0.134,3.07,
228,773,0.138,3.29,
229,772,0.142,3.51,
230,772,0.147,3.73,
231,771,0.152,3.96,
232,770,0.157,4.18,
233,769,0.163,4.41,
234,768,0.169,4.63,
235,767,0.175,4.86,
236,766,0.181,5.08,
237,765,0.187,5.31,
238,764,0.194,5.54,
239,762,0.201,5.76,
240,761,0.208,5.99,
241,759,0.216,6.22,
242,758,0.224,6.44,
243,756,0.232,6.67,
244,754,0.24,6.9,
245,752,0.249,7.12,
246,750,0.258,7.35,
247,748,0.267,7.57,
248,746,0.277,7.79,
249,744,0.287,8.02,
250,742,0.297,8.24,
251,740,0.307,8.46,
252,737,0.318,8.67,
253,735,0.329,8.89,
254,732,0.34,9.11,
255,730,0.352,9.32,
256,727,0.364,9.54,
257,724,0.376,9.75,
258,722,0.388,9.96,
259,719,0.401,10.2,
260,716,0.414,10.4,
261,713,0.427,10.6,
262,710,0.441,10.8,
263,707,0.455,11,
264,704,0.469,11.2,
265,701,0.484,11.4,
266,697,0.499,11.6,
267,694,0.514,11.7,
268,691,0.529,11.9,
269,687,0.545,12.1,
270,684,0.561,12.3,
271,680,0.577,12.5,
272,676,0.594,12.6,
273,673,0.611,12.8,
274,669,0.628,13,
275,665,0.646,13.2,
276,662,0.663,13.3,
277,658,0.681,13.5,
278,654,0.7,13.6,
279,650,0.718,13.8,
280,646,0.737,13.9,
281,642,0.756,14.1,
282,638,0.776,14.2,
283,634,0.795,14.3,
284,630,0.815,14.5,
285,626,0.835,14.6,
286,621,0.855,14.7,
287,617,0.876,14.9,
288,613,0.897,15,
289,609,0.918,15.1,
290,604,0.939,15.2,
291,600,0.961,15.3,
292,596,0.983,15.4,
293,591,1,15.5,
294,587,1.03,15.6,
295,582,1.05,15.7,
296,578,1.07,15.7,
297,573,1.09,15.8,
298,569,1.12,15.9,
299,564,1.14,16,
300,560,1.16,16,
301,555,1.19,16.1,
302,551,1.21,16.1,
303,546,1.23,16.2,
304,542,1.26,16.2,
305,537,1.28,16.3,
306,532,1.31,16.3,
307,528,1.33,16.3,
308,523,1.35,16.3,
309,519,1.38,16.4,
310,514,1.4,16.4,
311,509,1.43,16.4,
312,505,1.45,16.4,
313,500,1.48,16.4,
314,496,1.5,16.4,
315,491,1.53,16.4,
316,486,1.55,16.3,
317,482,1.58,16.3,
318,477,1.6,16.3,
319,473,1.63,16.2,
320,468,1.65,16.2,
321,464,1.68,16.2,
322,459,1.7,16.1,
323,455,1.73,16.1,
324,450,1.75,16,
325,446,1.78,15.9,
326,441,1.8,15.9,
327,437,1.83,15.8,
328,433,1.85,15.7,
329,428,1.88,15.6,
330,424,1.9,15.6,
331,420,1.93,15.5,
332,415,1.95,15.4,
333,411,1.97,15.3,
334,407,2,15.2,
335,403,2.02,15,
336,398,2.05,14.9,
337,394,2.07,14.8,
338,390,2.09,14.7,
339,386,2.12,14.5,
340,382,2.14,14.4,
341,378,2.16,14.3,
342,374,2.19,14.1,
343,370,2.21,14,
344,366,2.23,13.8,
345,363,2.25,13.7,
346,359,2.28,13.5,
347,355,2.3,13.3,
348,351,2.32,13.2,
349,348,2.34,13,
350,344,2.36,12.8,
351,340,2.38,12.6,
352,337,2.4,12.5,
353,333,2.42,12.3,
354,330,2.44,12.1,
355,327,2.46,11.9,
356,323,2.48,11.7,
357,320,2.5,11.5,
358,317,2.52,11.3,
359,314,2.54,11.1,
360,310,2.56,10.9,
361,307,2.57,10.6,
362,304,2.59,10.4,
363,301,2.61,10.2,
364,298,2.63,9.97,
365,296,2.64,9.74,
366,293,2.66,9.52,
367,290,2.67,9.28,
368,287,2.69,9.05,
369,285,2.7,8.81,
370,282,2.72,8.57,
371,280,2.73,8.33,
372,277,2.74,8.09,
373,275,2.76,7.84,
374,272,2.77,7.6,
375,270,2.78,7.35,
376,268,2.79,7.1,
377,266,2.8,6.85,
378,263,2.81,6.59,
379,261,2.82,6.34,
380,259,2.83,6.08,
381,257,2.84,5.83,
382,256,2.85,5.57,
383,254,2.86,5.31,
384,252,2.86,5.05,
385,250,2.87,4.79,
386,249,2.88,4.53,
387,247,2.88,4.26,
388,246,2.89,4,
389,244,2.89,3.74,
390,243,2.9,3.48,
391,241,2.9,3.21,
392,240,2.91,2.95,
393,239,2.91,2.69,
394,238,2.91,2.42,
395,237,2.91,2.16,
396,235,2.91,1.9,
397,234,2.92,1.64,
398,234,2.92,1.38,
399,233,2.92,1.12,
400,232,2.91,0.859,
401,231,2.91,0.601,
402,230,2.91,0.344,
403,230,2.91,0.0879,
404,229,2.91,-0.167,
405,229,2.9,-0.42,
406,228,2.9,-0.672,
407,228,2.89,-0.922,
408,227,2.89,-1.17,
409,227,2.88,-1.42,
410,227,2.88,-1.66,
411,226,2.87,-1.91,
412,226,2.86,-2.15,
413,226,2.86,-2.39,
414,226,2.85,-2.62,
415,226,2.84,-2.86,
416,226,2.83,-3.09,
417,226,2.82,-3.32,
418,226,2.81,-3.55,
419,226,2.8,-3.77,
420,227,2.79,-3.99,
421,227,2.78,-4.21,
422,227,2.77,-4.43,
423,227,2.75,-4.64,
424,228,2.74,-4.85,
425,228,2.73,-5.06,
426,229,2.71,-5.26,
427,229,2.7,-5.46,
428,230,2.68,-5.66,
429,231,2.67,-5.85,
430,231,2.65,-6.04,
431,232,2.64,-6.23,
432,233,2.62,-6.41,
433,233,2.6,-6.59,
434,234,2.59,-6.76,
435,235,2.57,-6.94,
436,236,2.55,-7.1,
437,237,2.53,-7.27,
438,238,2.52,-7.43,
439,239,2.5,-7.58,
440,240,2.48,-7.73,
441,241,2.46,-7.88,
442,242,2.44,-8.02,
443,243,2.42,-8.16,
444,244,2.4,-8.29,
445,245,2.38,-8.42,
446,246,2.35,-8.55,
447,247,2.33,-8.67,
448,248,2.31,-8.79,
449,250,2.29,-8.9,
450,251,2.27,-9,
451,252,2.25,-9.11,
452,253,2.22,-9.21,
453,255,2.2,-9.3,
454,256,2.18,-9.39,
455,257,2.15,-9.47,
456,259,2.13,-9.55,
457,260,2.11,-9.63,
458,261,2.08,-9.7,
459,263,2.06,-9.76,
460,264,2.04,-9.82,
461,266,2.01,-9.88,
462,267,1.99,-9.93,
463,269,1.97,-9.98,
464,270,1.94,-10,
465,271,1.92,-10.1,
466,273,1.89,-10.1,
467,274,1.87,-10.1,
468,276,1.85,-10.1,
469,277,1.82,-10.2,
470,279,1.8,-10.2,
471,280,1.77,-10.2,
472,282,1.75,-10.2,
473,283,1.73,-10.2,
474,285,1.7,-10.2,
475,286,1.68,-10.2,
476,288,1.65,-10.1,
477,289,1.63,-10.1,
478,291,1.61,-10.1,
479,292,1.58,-10.1,
480,293,1.56,-10,
481,295,1.54,-10,
482,296,1.51,-9.97,
483,298,1.49,-9.92,
484,299,1.47,-9.87,
485,301,1.45,-9.82,
486,302,1.43,-9.76,
487,303,1.4,-9.69,
488,305,1.38,-9.63,
489,306,1.36,-9.56,
490,307,1.34,-9.48,
491,309,1.32,-9.4,
492,310,1.3,-9.32,
493,311,1.28,-9.23,
494,313,1.26,-9.14,
495,314,1.24,-9.05,
496,315,1.22,-8.95,
497,316,1.2,-8.85,
498,318,1.18,-8.74,
499,319,1.17,-8.63,
500,320,1.15,-8.52,
501,321,1.13,-8.41,
502,322,1.11,-8.29,
503,323,1.1,-8.17,
504,325,1.08,-8.04,
505,326,1.07,-7.91,
506,327,1.05,-7.78,
507,328,1.04,-7.65,
508,329,1.02,-7.51,
509,330,1.01,-7.37,
510,331,0.999,-7.23,
511,331,0.987,-7.09,
512,332,0.975,-6.94,
513,333,0.964,-6.79,
514,334,0.953,-6.64,
515,335,0.943,-6.49,
516,336,0.933,-6.33,
517,336,0.924,-6.17,
518,337,0.916,-6.01,
519,338,0.908,-5.85,
520,338,0.901,-5.69,
521,339,0.894,-5.53,
522,340,0.888,-5.36,
523,340,0.883,-5.19,
524,341,0.878,-5.03,
525,341,0.874,-4.86,
526,342,0.871,-4.68,
527,342,0.868,-4.51,
528,343,0.866,-4.34,
529,343,0.864,-4.17,
530,343,0.863,-3.99,
531,344,0.863,-3.82,
532,344,0.864,-3.64,
533,344,0.865,-3.46,
534,345,0.867,-3.29,
535,345,0.869,-3.11,
536,345,0.872,-2.93,
537,345,0.876,-2.76,
538,345,0.881,-2.58,
539,345,0.886,-2.4,
540,345,0.892,-2.23,
541,345,0.898,-2.05,
542,345,0.906,-1.88,
543,345,0.914,-1.7,
544,345,0.922,-1.53,
545,345,0.932,-1.36,
546,345,0.942,-1.18,
547,345,0.953,-1.01,
548,345,0.964,-0.841,
549,344,0.976,-0.672,
550,344,0.989,-0.504,
551,344,1,-0.337,
552,343,1.02,-0.172,
553,343,1.03,-0.00835,
554,343,1.05,0.154,
555,342,1.06,0.314,
556,342,1.08,0.473,
557,341,1.1,0.63,
558,341,1.12,0.785,
559,340,1.14,0.938,
560,340,1.16,1.09,
561,339,1.18,1.24,
562,339,1.2,1.38,
563,338,1.22,1.53,
564,337,1.24,1.67,
565,337,1.26,1.81,
566,336,1.29,1.94,
567,335,1.31,2.07,
568,335,1.34,2.2,
569,334,1.36,2.33,
570,333,1.39,2.46,
571,332,1.41,2.58,
572,331,1.44,2.69,
573,331,1.47,2.81,
574,330,1.5,2.92,
575,329,1.52,3.03,
576,328,1.55,3.13,
577,327,1.58,3.24,
578,326,1.61,3.33,
579,325,1.65,3.43,
580,324,1.68,3.52,
581,323,1.71,3.61,
582,322,1.74,3.69,
583,321,1.77,3.77,
584,320,1.81,3.85,
585,319,1.84,3.92,
586,318,1.88,3.99,
587,317,1.91,4.05,
588,315,1.94,4.11,
589,314,1.98,4.17,
590,313,2.02,4.22,
591,312,2.05,4.27,
592,311,2.09,4.31,
593,310,2.13,4.35,
594,308,2.16,4.39,
595,307,2.2,4.42,
596,306,2.24,4.44,
597,305,2.28,4.46,
598,304,2.32,4.48,
599,302,2.35,4.5,
600,301,2.39,4.5,
601,300,2.43,4.51,
602,299,2.47,4.51,
603,297,2.51,4.5,
604,296,2.55,4.5,
605,295,2.59,4.48,
606,294,2.63,4.47,
607,292,2.67,4.44,
608,291,2.71,4.42,
609,290,2.75,4.39,
610,289,2.79,4.35,
611,287,2.84,4.31,
612,286,2.88,4.27,
613,285,2.92,4.22,
614,284,2.96,4.17,
615,282,3,4.11,
616,281,3.04,4.05,
617,280,3.08,3.98,
618,279,3.12,3.91,
619,278,3.16,3.83,
620,276,3.2,3.75,
621,275,3.25,3.67,
622,274,3.29,3.58,
623,273,3.33,3.49,
624,272,3.37,3.39,
625,270,3.41,3.29,
626,269,3.45,3.18,
627,268,3.49,3.07,
628,267,3.53,2.96,
629,266,3.57,2.84,
630,265,3.61,2.72,
631,264,3.65,2.6,
632,262,3.69,2.47,
633,261,3.72,2.33,
634,260,3.76,2.2,
635,259,3.8,2.06,
636,258,3.84,1.91,
637,257,3.88,1.76,
638,256,3.91,1.61,
639,255,3.95,1.46,
640,254,3.99,1.3,
641,253,4.02,1.14,
642,252,4.06,0.972,
643,251,4.09,0.803,
644,251,4.13,0.631,
645,250,4.16,0.456,
646,249,4.2,0.278,
647,248,4.23,0.0967,
648,247,4.26,-0.0876,
649,246,4.3,-0.275,
650,246,4.33,-0.465,
651,245,4.36,-0.657,
652,244,4.39,-0.853,
653,243,4.42,-1.05,
654,243,4.45,-1.25,
655,242,4.48,-1.45,
